City,Temperature (°C),Min_Temperature (°C),Max_Temperature (°C),Feels_Like (°C),Pressure (hpa),Weather,Humidity (%),Wind Speed (m/s),TimeZone (sec)
Kāranja,25.48,25.48,25.48,25.75,1012,scattered clouds,64,2.35,19800
Yavatmal,26.49,26.49,26.49,26.49,1011,overcast clouds,55,0.83,19800
Pusad,25.16,25.16,25.16,25.61,1012,broken clouds,72,0.97,19800
Arni,25.24,25.24,25.24,25.93,1012,scattered clouds,81,2.27,19800
Wani,26.94,26.94,26.94,27.48,1011,few clouds,52,2.58,19800
Digras,26.34,26.34,26.34,26.34,1011,broken clouds,62,0.81,19800
Akola,26.53,26.53,26.53,26.53,1011,overcast clouds,56,2.39,19800
Pātūr,25.23,25.23,25.23,25.48,1012,overcast clouds,64,2.02,19800
Telhāra,24.6,24.6,24.6,24.68,1012,broken clouds,60,2.34,19800
Amrāvati,26.61,26.61,26.61,26.61,1011,overcast clouds,59,3,19800
Morshi,25.77,25.77,25.77,25.68,1012,overcast clouds,49,3.42,19800
Chāndūr Bāzār,26.34,26.34,26.34,26.34,1011,overcast clouds,48,3.76,19800
Achalpur,25.99,25.99,25.99,25.99,1012,overcast clouds,51,2.91,19800
Nandgaon Khandeshwar,26.64,26.64,26.64,26.64,1011,overcast clouds,62,2.17,19800
Alibag,26.21,26.21,26.21,26.21,1010,broken clouds,83,4.77,19800
Uran,29.98,29.98,29.98,35.73,1010,broken clouds,73,5.26,19800
Panvel,30.04,30.04,30.04,33.97,1010,broken clouds,65,1.16,19800
Karjat,26.5,26.5,26.5,26.5,1011,broken clouds,72,1.56,19800
Khalapur,26.11,26.11,26.11,26.11,1010,broken clouds,78,1.39,19800
Wāshīm,25.09,25.09,25.09,25.43,1012,overcast clouds,68,2.36,19800
Khāmgaon,24.45,24.45,24.45,24.65,1012,broken clouds,65,1.31,19800
Manora,25.22,25.22,25.22,25.36,1011,few clouds,60,1.33,19800
Pusad,25.16,25.16,25.16,25.61,1012,broken clouds,72,0.97,19800
